Date Printed :4/28/2022 7:43:14 PM										
										
Effective 28-APR-22                                         										
										
Note:Price amounts shown are in US$										
										
PriceList	Category	PartNbr	Part Description	Weight	LeadTime	ListPrice	NetPrice	ReplPartNbr	ReplPartDesc	OrderMultiple
KITCHEN KNIGHT II Systems	Cartridge/Actuation Accessories	31809	"Braided Hose, 16 in. (41cm)"	0.3	Call	61.5	30.75			
KITCHEN KNIGHT II Systems	Cartridge/Actuation Accessories	32336	"Braided Hose, 24 in.  (61cm)"	0.3	Call	63	31.5			
KITCHEN KNIGHT II Systems	Cartridge/Actuation Accessories	430815	"Braided Hose, 42 in.  (107cm) - 1/4 NPTF x 7/16-20 Flare"	0.3	Call	58.5	29.25			
KITCHEN KNIGHT II Systems	Cartridge/Actuation Accessories	31810	"Male Elbow, 7/16-20 x 1/4 NPT"	0.1	Call	15.25	7.63			
KITCHEN KNIGHT II Systems	Cartridge/Actuation Accessories	31811	"Male Tee, 7/16-20 x 1/4 NPT"	0.1	Call	18.75	9.38			
KITCHEN KNIGHT II Systems	Cartridge/Actuation Accessories	32338	"Male Straight Connector,  7/16-20 x 1/4   NPT"	0.1	Call	6.85	3.43			
KITCHEN KNIGHT II Systems	Cartridge/Actuation Accessories	550829	PDA-D2 Pneumatic Discharge Adaptor	0.7	Call	83.75	41.88			
KITCHEN KNIGHT II Systems	Gas Valves	550593	"GV-75 Gas Valve, Mechanical, Direct Cable Hookup, 3/4 in. Pipe"	3.1	Call	342	171			
KITCHEN KNIGHT II Systems	Gas Valves	550594	"GV-100 Gas Valve, Mechanical, Direct Cable Hookup, 1 in. Pipe"	2.9	Call	383.5	191.75			
KITCHEN KNIGHT II Systems	Gas Valves	550595	"GV-125 Gas Valve, Mechanical, Direct Cable Hookup, 1-1/4 in. Pipe"	3.6	Call	404.5	202.25			
KITCHEN KNIGHT II Systems	Gas Valves	550596	"GV-150 Gas Valve, Mechanical, Direct Cable Hookup, 1-1/2 in. Pipe"	3.5	Call	441.5	220.75			
KITCHEN KNIGHT II Systems	Gas Valves	551049	"GV-200 Gas Valve, Mechanical, Direct Cable Hookup, 2 in. Pipe"	6.2	Call	504.5	252.25			
KITCHEN KNIGHT II Systems	Gas Valves	550185	"GV-250 Gas Valve, Mechanical, Direct Cable Hookup, 2-1/2 in. Pipe"	12.2	Call	1135	567.5			
KITCHEN KNIGHT II Systems	Gas Valves	550186	"GV-300 Gas Valve, Mechanical, Direct Cable Hookup, 3 in. Pipe"	12.2	Call	1225	612.5			
KITCHEN KNIGHT II Systems	Gas Valves	13707	"EGVSO-75 Gas Valve, Electrical, (120 VAC, 60 Hz) 3/4 in. Pipe"	5	Call	358.5	179.25			
KITCHEN KNIGHT II Systems	Gas Valves	13708	"EGVSO-100 Gas Valve, Electrical, (120 VAC, 60 Hz) 1 in.  Pipe"	4	Call	526.5	263.25			
KITCHEN KNIGHT II Systems	Gas Valves	550360	"EGVSO-125 Gas Valve, Electrical, (120 VAC, 60 Hz) 1-1/4 in. Pipe"	4.2	Call	539	269.5			
KITCHEN KNIGHT II Systems	Gas Valves	13709	"EGVSO-150 Gas Valve, Electrical, (120 VAC, 60 Hz) 1-1/2 in. Pipe"	4	Call	607.5	303.75			
KITCHEN KNIGHT II Systems	Gas Valves	13710	"EGVSO-200 Gas Valve, Electrical, (120 VAC, 60 Hz) 2 in. Pipe"	5.8	Call	857	428.5			
KITCHEN KNIGHT II Systems	Gas Valves	550363	"EGVSO-250 Gas Valve, Electrical, (120 VAC, 60 Hz) 2-1/2 in."	13.5	Call	1401	700.5			
KITCHEN KNIGHT II Systems	Gas Valves	17643	"EGVSO-300 Gas Valve, Electrical, (120 VAC, 60 Hz) 3 in."	12.1	Call	1788	894			
KITCHEN KNIGHT II Systems	Gas Valves	550603	"GVB Box Assembly, Gas Valve, Red"	1.1	Call	65.5	32.75			
KITCHEN KNIGHT II Systems	Switches	551154	MS-SPDT One-Switch Kit (New)	0.2	Call	39.25	19.63			
KITCHEN KNIGHT II Systems	Switches	551155	MS-DPDT Two-Switch Kit (New)	0.2	Call	76.25	38.13			
KITCHEN KNIGHT II Systems	Switches	551156	MS-3PDT Three-Switch Kit (New)	0.2	Call	115	57.5			
KITCHEN KNIGHT II Systems	Switches	551157	MS-4PDT Four-Switch Kit (New)	0.3	Call	157.5	78.75			
KITCHEN KNIGHT II Systems	Switches	550227	"MS-SPDT Switch, Single-Pole Double-Throw"	0.2	Call	72.25	36.13			
KITCHEN KNIGHT II Systems	Switches	550237	"MS-DPDT Switch, Double-Pole Double-Throw"	0.3	Call	146	73			
KITCHEN KNIGHT II Systems	Switches	550230	"MS-4PDT-CH Switch, Four-Pole Double-Throw"	0.5	Call	303	151.5			
KITCHEN KNIGHT II Systems	Switches	550978	"MS-4PDT-EN Switch for EN-MCU Units, Four-Pole Double-Throw (Old)"	0.4	Call	303	151.5			
KITCHEN KNIGHT II Systems	Switches	550077	Alarm Initiating Switch	0.2	Call	36	18			
KITCHEN KNIGHT II Systems	Switches	552173	Micro Switch Extension Kit	0.1	Call	25.25	12.63			
KITCHEN KNIGHT II Systems	Switches	437155	Alarm Initiating and Snap Action Switch	0.1	Call	83	41.5			
KITCHEN KNIGHT II Systems	Wire Rope/Accessories	15821	"WR-50 Wire Rope, Stainless Steel, 1/16 in. Dia., 50 feet"	0.4	Call	57.25	28.63			
KITCHEN KNIGHT II Systems	Wire Rope/Accessories	79653	"WR-500 Wire Rope, Stainless Steel, 1/16 in. Dia., 500 feet"	4.8	Call	234	117			
KITCHEN KNIGHT II Systems	Wire Rope/Accessories	550121	"SH-100 S-Hooks, Package of 100"	0.7	Call	32	16			
KITCHEN KNIGHT II Systems	Flexible Conduit	439104	Flexible Conduit (Pre-Fed) - 50 ft.	0	Call	216.5	108.25			
KITCHEN KNIGHT II Systems	Flexible Conduit	435959	Flexible Conduit - 500 ft. and Wire Rope - 500 ft.	36.32	Call	940.5	470.25			
KITCHEN KNIGHT II Systems	Flexible Conduit	434525	Flexible Conduit - 500 ft.	33	Call	740	370			
KITCHEN KNIGHT II Systems	Flexible Conduit	435979	Flexible Conduit Strain Relief (50 Pack)	0.1	Call	434	217			
KITCHEN KNIGHT II Systems	Flexible Conduit	434347	Flexible Conduit Insert (50 Pack)	0.25	Call	125	62.5			
KITCHEN KNIGHT II Systems	Flexible Conduit	436150	P Clips (50 Pack)	0.5	Call	86	43			
KITCHEN KNIGHT II Systems	Flexible Conduit	79827	Compression Union	0.25	Call	14	7			
KITCHEN KNIGHT II Systems	Accessories	434528	115 VAC Horn/Strobe Assembly	1	Call	267	133.5			
KITCHEN KNIGHT II Systems	Accessories	79153	"Adaptor, 1/2 in. EMT Compression Seal, Package of 24"	11.8	Call	988	494			
KITCHEN KNIGHT II Systems	Accessories	423253	"Adaptor, Hood Seal, Package of 6"	2	Call	307	153.5			
KITCHEN KNIGHT II Systems	Accessories	77284	"Quickseal Adaptor, 3/8 in., (each)"	0.4	Call	29.5	14.75			
KITCHEN KNIGHT II Systems	Accessories	77285	"Quickseal Adaptor, 3/8 in., Package of 24"	9.4	Call	643	321.5			
KITCHEN KNIGHT II Systems	Accessories	77286	"Quickseal Adaptor, 1/2 in. NPT(each)"	0.3	Call	31.25	15.63			
KITCHEN KNIGHT II Systems	Accessories	77287	"Quickseal Adaptor, 1/2 in., NPT Package of 24"	8.6	Call	682	341			
KITCHEN KNIGHT II Systems	Accessories	79149	"Adaptor, 1/4 in. Pipe Compression-Seal, 24/package (pkg. price)"	6.9	Call	793	396.5			
KITCHEN KNIGHT II Systems	Accessories	79151	"Adaptor, 3/8 in. Pipe Compression-Seal, 24/package (pkg. price)"	12.3	Call	988	494			
KITCHEN KNIGHT II Systems	Accessories	79147	"Adaptor, 1/2 in. Pipe Compression-Seal, 24/package (pkg. price)"	13.2	Call	1082	541			
KITCHEN KNIGHT II Systems	Accessories	550788	VT-1 Wet Valve Tool	0.1	Call	59.5	29.75			
KITCHEN KNIGHT II Systems	Accessories	551240	PCL-AK Recharge Adaptor Kit KKII	0.3	Call	80.25	40.13			
KITCHEN KNIGHT II Systems	Accessories	551037	"Beaker, 3000 ml"	1.2	Call	215	107.5			
KITCHEN KNIGHT II Systems	Accessories	551039	Measuring Stick	1.2	Call	69.75	34.88			
KITCHEN KNIGHT II Systems	Accessories	550735	Recharge Adaptor Kit - Kitchen Knight	0.25	Call	80.25	40.13			
KITCHEN KNIGHT II Systems	Accessories	552181	Hydrotest Adapter	1	Call	77	38.5			
KITCHEN KNIGHT II Systems	Accessories	550938	Bleed Down Adaptor Kit	0.3	Call	65.75	32.88			
KITCHEN KNIGHT II Systems	Accessories	79656	"Flushing Kit, 32 oz. Container, Package of 12"	34.5	Call	434	217			
KITCHEN KNIGHT II Systems	Recharge Agent	553176	"RL-160, Recharge, 1.6 Gallon"	21	Call	168	84			
KITCHEN KNIGHT II Systems	Recharge Agent	551188	"RL-300, 3.0 Gallons of Wet Chemical for Recharge"	45	Call	260	130			
KITCHEN KNIGHT II Systems	Test Tanks	551024	PCL-300T Empty 3.0 Gallon Test Tank	23	Call	604.5	302.25			
KITCHEN KNIGHT II Systems	Test Tanks	550902	PCL-460T Empty 4.6 Gallon Test Tank	30	Call	773	386.5			
KITCHEN KNIGHT II Systems	Test Tanks	550901	PCL-600T Empty 6.0 Gallon Test Tank	40	Call	888	444			
KITCHEN KNIGHT II Systems	Spare Parts	553642	"Pick-Up Tube, PCL 160: 13.28 in. LG"	0	Call	65.25	32.63			
KITCHEN KNIGHT II Systems	Spare Parts	553643	"Pick-Up Tube, PCL 600: 31 3/4 in. LG"	0	Call	65.25	32.63			
KITCHEN KNIGHT II Systems	Spare Parts	553644	"Pick-Up Tube, PCL 460: 20.94 in. LG"	0	Call	65.25	32.63			
KITCHEN KNIGHT II Systems	Spare Parts	553645	"Pick-Up Tube, PCL 300: 20 9/16 in. LG"	0	Call	65.25	32.63			
KITCHEN KNIGHT II Systems	Spare Parts	550698	Wet Valve Rebuilding Kit	0.3	Call	59.5	29.75			
KITCHEN KNIGHT II Systems	Spare Parts	550831	Wet Valve Cap with Valve Core	0.4	Call	60.75	30.38			
KITCHEN KNIGHT II Systems	Spare Parts	550705	Wet Spring	0.1	Call	7.65	3.83			
KITCHEN KNIGHT II Systems	Spare Parts	551236	"Wet Gauge, 225 psi"	0.1	Call	85.25	42.63			
KITCHEN KNIGHT II Systems	Spare Parts	550716	Wet Valve O-ring	0.1	Call	13	6.5			
KITCHEN KNIGHT II Systems	Spare Parts	550707	Wet Piston	0.7	Call	17.75	8.88			
KITCHEN KNIGHT II Systems	Spare Parts	550715	Wet Piston O-ring	0.1	Call	7.95	3.98			
KITCHEN KNIGHT II Systems	Spare Parts	550714	Wet Valve Cap O-ring	0.1	Call	7.95	3.98			
KITCHEN KNIGHT II Systems	Spare Parts	550713	"Wet Gauge, 175 psi"	0.1	Call	78.75	39.38			
KITCHEN KNIGHT II Systems	Spare Parts	551528	"Wet Nozzle Cap, Stainless Steel, Package of 10"	0.1	Call	97.25	48.63			
KITCHEN KNIGHT II Systems	Spare Parts	551529	"Wet Nozzle Strainer, Package of 10"	0.1	Call	94.5	47.25			
KITCHEN KNIGHT II Systems	Spare Parts	551530	"Wet Nozzle Cap O-ring, Package of 10"	0.1	Call	27.75	13.88			
KITCHEN KNIGHT II Systems	Spare Parts	550016	"Rubber Blow Off Cap, Package of 12"	0.1	Call	53.75	26.88			
KITCHEN KNIGHT II Systems	Spare Parts	551175	Complete Wet Valve Assembly	1.1	Call	254	127			
KITCHEN KNIGHT II Systems	Spare Parts	550985	Pressure Regulator Assembly	0.5	Call	64	32			
KITCHEN KNIGHT II Systems	Spare Parts	551061	Pressure Regulator Rebuild Kit	0.1	Call	24.75	12.38			
KITCHEN KNIGHT II Systems	Spare Parts	550958	Control Head Connector Package	0	Call	49.25	24.63			
KITCHEN KNIGHT II Systems	Spare Parts	55531	Control Head Replacement O-Ring (Not Sold Individually - Must Order Min. 10 pcs. )	0.1	Call	2.09	1.04			
KITCHEN KNIGHT II Systems	Spare Parts	57593	O-Ring Lubricant	0.5	Call	114	57			
KITCHEN KNIGHT II Systems	KITCHEN ONE Extinguisher	553376	"KITCHEN ONE Extinguisher w/Wall Bracket, 6L (KS6100)"	27.5	Call	461.5	230.75			
KITCHEN KNIGHT II Systems	Fusible Links/Detectors/Accessories	13976	"Detector, Heat, Rate Compensated, 225 deg.F, Vert. (Qty. discount 50+)"	0.3	Call	354	177			
KITCHEN KNIGHT II Systems	Spare Parts	197	Lead Wire Seal	0.1	Call	1.3	0.65			
KITCHEN KNIGHT II Systems	Labels	553486	"Label, Exhaust Fan Caution, Package of 10"	0.1	Call	32.25	16.13			
KITCHEN KNIGHT II Systems	Agent Discharge Accessories	435982	Agent Distribution Hose and Restraining Cable	4	Call	434	217			
KITCHEN KNIGHT II Systems	Agent Discharge Accessories	436228	Reducing Coupling (3/8 in. x 1/2 in.)	0.25	Call	8.35	4.18			
MONARCH Industrial Systems	Cylinders/Brackets	551654	"PCI-17ABC Cylinder with Valve, ABC Agent, 17 lb."	41	Call	866	433			
MONARCH Industrial Systems	Cylinders/Brackets	551097	"PCI-35ABC Cylinder with Valve, ABC Agent, 35 lb."	74.7	Call	1285	642.5			
MONARCH Industrial Systems	Cylinders/Brackets	551094	"PCI-70ABC Cylinder with Valve, ABC Agent, 70 lb."	125	Call	1728	864			
MONARCH Industrial Systems	Cylinders/Brackets	550388	"PCI-15ABC Cylinder with Valve, ABC Agent, 12.5 lb."	30.4	Call	661	330.5			
MONARCH Industrial Systems	Cylinders/Brackets	550391	"PCI-25sBC Cylinder with Valve, BC Agent, 25 lb."	48.5	Call	866	433			
MONARCH Industrial Systems	Cylinders/Brackets	550390	"PCI-25sABC Cylinder with Valve, ABC Agent, 25 lb."	48.5	Call	866	433			
MONARCH Industrial Systems	Cylinders/Brackets	550393	"PCI-50sBC Cylinder with Valve, BC Agent, 50 lb."	90.4	Call	1471	735.5			
MONARCH Industrial Systems	Cylinders/Brackets	550392	"PCI-50sABC Cylinder with Valve, ABC Agent, 50 lb."	90.4	Call	1471	735.5			
MONARCH Industrial Systems	Cylinders/Brackets	550665	"MB-ATD Mounting Bracket, ATD 35/75 Cylinders"	5.8	Call	136	68			
MONARCH Industrial Systems	Brackets/Enclosures/Straps	550053	MB-1 Cylinder Mounting Bracket	5	Call	132.5	66.25			
MONARCH Industrial Systems	Brackets/Enclosures/Straps	550054	MB-15 Cylinder Mounting Bracket	3.7	Call	120	60			
MONARCH Industrial Systems	Cylinders/Brackets	550324	"MB-U8 Floor Mounting Bracket, 8 in.  Diameter Cylinders"	1.2	Call	79.75	39.88			
MONARCH Industrial Systems	Cylinders/Brackets	550383	"MB-U10 Floor Mounting Bracket, 10 in. Diameter Cylinders"	1.4	Call	80.75	40.38			
MONARCH Industrial Systems	Cylinders/Brackets	550638	"MB-U12 Floor Mounting Bracket, 12 in. Diameter Cylinders"	1.8	Call	100	50			
MONARCH Industrial Systems	Control Heads	551203	"NMCH Control Head, Mechanical, No Local Actuation"	6	Call	528	264			
MONARCH Industrial Systems	Control Heads	550101	NMCH Cover Assembly Replacement	0.4	Call	42.75	21.38			
MONARCH Industrial Systems	Control Heads	551204	"NMCH-DPT Control Head w/Switch, Mechanical, No Local Actuation"	6.1	Call	631	315.5			
MONARCH Industrial Systems	Control Heads	551200	"MCH Control Head, Mechanical, with Local Actuation"	6.1	Call	548.5	274.25			
MONARCH Industrial Systems	Control Heads	551201	"ECH-24 Control Head, Electrical, 24VDC, with Local Actuation"	7	Call	726	363			
MONARCH Industrial Systems	Control Heads	551202	"ECH-120 Control Head, Electrical, 120VAC, with Local Actuation"	7	Call	832	416			
MONARCH Industrial Systems	Control Heads	551206	"NECH-24V Control Head, Electrical, 24VDC, No Local Actuation"	6.1	Call	714.5	357.25			
